0.4	1.851447	0.00179801
0.400192188	1.85144307	0.00179211
0.400384561	1.85143913	0.0017862
0.40057712	1.85143425	0.0017803
0.400769863	1.85143026	0.0017744
0.400962792	1.85142633	0.0017685
0.401155907	1.85142239	0.00176349
0.401349208	1.85141846	0.00175858
0.401542695	1.85141453	0.00175366
0.401736369	1.85141059	0.00174874
0.40193023	1.85140666	0.00174382
0.402124278	1.85140273	0.00173973
0.402318514	1.85139879	0.00173499
0.402512937	1.85139486	0.00173086
0.402707549	1.85139092	0.00172692
0.402902348	1.85138699	0.00172299
0.403097336	1.85138232	0.00171906
0.403292513	1.85137812	0.00171512
0.403487879	1.85137419	0.00171119
0.403683435	1.85137025	0.00170794
0.40387918	1.85136632	0.00170432
0.404075115	1.85136238	0.00170104
0.40427124	1.85135845	0.00169745
0.404467556	1.85135452	0.00169414
0.404664062	1.85135058	0.00169119
0.404860759	1.85134665	0.00168824
0.405057648	1.85134271	0.00168529
0.405254729	1.85133822	0.00168233
0.405452001	1.85133385	0.00167938
0.405649465	1.85132991	0.00167643
0.405847122	1.85132598	0.00167348
0.406044972	1.85132204	0.00167102
0.406243014	1.85131811	0.00166858
0.40644125	1.85131417	0.00166563
0.406639679	1.85131024	0.00166312
0.406838303	1.85130631	0.00166073
0.40703712	1.85130197	0.00165819
0.407236132	1.85129744	0.00165622
0.407435338	1.8512935	0.00165388
0.40763474	1.85128957	0.00165129
0.407834336	1.85128564	0.00164932
0.408034129	1.8512817	0.00164735
0.408234117	1.85127777	0.00164508
0.408434301	1.85127383	0.00164242
0.408634682	1.85126962	0.00164045
0.408835259	1.85126496	0.00163848
0.409036034	1.85126103	0.00163652
0.409237005	1.8512571	0.00163455
0.409438175	1.85125316	0.00163258
0.409639542	1.85124923	0.00163061
0.409841107	1.85124512	0.00162882
0.410042871	1.85124036	0.00163585
0.410244833	1.85123643	0.00167628
0.410446995	1.85123249	0.00167137
0.410649356	1.85122856	0.00166645
0.410851917	1.85122462	0.00166153
0.411054677	1.85122069	0.00165669
0.411257638	1.8512167	0.0016527
0.411460799	1.85121182	0.00164782
0.411664161	1.85120789	0.00164389
0.411867724	1.85120395	0.00163995
0.412071489	1.85120002	0.00163602
0.412275455	1.85119511	0.00163208
0.412479624	1.85119115	0.00162815
0.412683994	1.85118722	0.00162516
0.412888568	1.85118328	0.00162128
0.413093344	1.85117935	0.00161735
0.413298323	1.85117542	0.00161431
0.413503506	1.85117148	0.00161136
0.413708893	1.85116668	0.00160755
0.413914484	1.85116261	0.00160446
0.414120279	1.85115868	0.00160151
0.414326279	1.85115474	0.00159856
0.414532484	1.85115001	0.00159561
0.414738895	1.85114588	0.00159266
0.414945511	1.85114194	0.00158971
0.415152333	1.85113801	0.0015875
0.415359362	1.85113407	0.00158481
0.415566597	1.85112942	0.00158185
0.415774039	1.8511252	0.0015796
0.415981688	1.85112127	0.00157695
0.416189544	1.85111734	0.001574
0.416397609	1.8511134	0.0015717
0.416605881	1.85110884	0.00156973
0.416814362	1.85110454	0.00156715
0.417023052	1.8511006	0.0015648
0.417231951	1.85109608	0.00156283
0.417441059	1.85109173	0.00156087
0.417650377	1.8510878	0.00155835
0.417859905	1.85108386	0.00155593
0.418069643	1.85107993	0.00155396
0.418279592	1.8510755	0.001552
0.418489752	1.85107106	0.00155003
0.418700124	1.85106713	0.00154806
0.418910706	1.85106319	0.0015461
0.419121501	1.85105882	0.00154413
0.419332508	1.85105432	0.00154216
0.419543728	1.85105039	0.0015402
0.41975516	1.85104607	0.00153823
0.419966806	1.85104152	0.00154994
0.420178665	1.85103759	0.00158294
0.420390738	1.85103365	0.00160199
0.420603026	1.8510294	0.00159936
0.420815527	1.85102479	0.00159739
0.421028244	1.85102085	0.00159543
0.421241176	1.85101692	0.00159319
0.421454323	1.85101273	0.00159049
0.421667686	1.85100805	0.00158852
0.421881265	1.85100412	0.00158656
0.422095061	1.85099997	0.00158459
0.422309074	1.85099525	0.00158262
0.422523303	1.85099131	0.00158066
0.42273775	1.85098738	0.00157869
0.422952415	1.8509833	0.00157672
0.423167298	1.85097851	0.00157476
0.4233824	1.85097458	0.00157289
0.42359772	1.85097064	0.00157182
0.423813259	1.85096663	0.00156985
0.424029018	1.85096177	0.00156789
0.424244997	1.85095784	0.00156596
0.424461195	1.85095388	0.00156495
0.424677615	1.85094897	0.00156299
0.424894255	1.85094504	0.00156102
0.425111116	1.8509411	0.00156003
0.425328198	1.85093717	0.00155808
0.425545503	1.85093229	0.00155706
0.42576303	1.8509283	0.00155515
0.425980779	1.85092437	0.00155409
0.426198751	1.85091954	0.00155222
0.426416946	1.8509155	0.00155112
0.426635364	1.85091156	0.00154928
0.426854007	1.85090679	0.00154816
0.427072874	1.8509027	0.00154635
0.427291965	1.85089876	0.00154519
0.427511281	1.85089483	0.00154421
0.427730823	1.85089012	0.00154245
0.42795059	1.85088596	0.00154124
0.428170583	1.85088202	0.00154026
0.428390802	1.85087809	0.00153855
0.428611248	1.85087345	0.00153729
0.428831921	1.85086922	0.00153631
0.429052821	1.85086529	0.00153532
0.429273949	1.85086136	0.00153368
0.429495305	1.85085678	0.00153236
0.42971689	1.85085249	0.00153137
0.429938703	1.85084855	0.00153039
0.430160745	1.85084462	0.00154727
0.430383017	1.8508401	0.00155842
0.430605519	1.85083575	0.001558
0.430828251	1.85083182	0.00155745
0.431051213	1.85082788	0.00155647
0.431274406	1.85082343	0.00155549
0.431497831	1.85081901	0.001555
0.431721487	1.85081508	0.00155452
0.431945375	1.85081114	0.00155354
0.432169495	1.85080676	0.001553
0.432393848	1.85080228	0.00155257
0.432618434	1.85079834	0.00155159
0.432843254	1.85079441	0.001551
0.433068307	1.85079048	0.00155062
0.433293595	1.85078654	0.00155
0.433519117	1.85078226	0.00154965
0.433744874	1.85077767	0.00154867
0.433970866	1.85077374	0.001548
0.434197094	1.8507698	0.0015477
0.434423558	1.85076587	0.001547
0.434650258	1.85076194	0.00154673
0.434877195	1.850758	0.00154575
0.435104368	1.85075383	0.001545
0.43533178	1.85074913	0.00154478
0.435559429	1.8507452	0.001544
0.435787317	1.85074126	0.00154382
0.436015443	1.85073733	0.001543
0.436243808	1.8507334	0.00154285
0.436472412	1.85072946	0.001542
0.436701256	1.85072553	0.00154188
0.43693034	1.85072159	0.001541
0.437159665	1.85071766	0.00154092
0.43738923	1.85071373	0.00154
0.437619037	1.85070979	0.00153995
0.437849086	1.85070586	0.001539
0.438079376	1.85070192	0.00153898
0.438309909	1.85069799	0.001538
0.438540684	1.85069504	0.001538
0.438771703	1.85069112	0.00153703
0.439002965	1.85068719	0.001537
0.439234471	1.85068325	0.00153606
0.439466221	1.85067932	0.001536
0.439698216	1.85067538	0.001536
0.439930456	1.85067234	0.00153511
0.440162942	1.85066852	0.0015054
0.440395673	1.85066458	0.001501
0.440628651	1.85066065	0.00150184
0.440861875	1.85065754	0.001502
0.441095346	1.85065378	0.0015028
0.441329065	1.85064985	0.00150379
0.441563032	1.85064668	0.001504
0.441797246	1.85064298	0.00150476
0.44203171	1.85063978	0.001505
0.442266422	1.85063611	0.00150572
0.442501384	1.85063288	0.00150671
0.442736595	1.85062924	0.001507
0.442972057	1.85062598	0.00150767
0.443207769	1.85062237	0.001508
0.443443732	1.85061908	0.00150864
0.443679947	1.85061613	0.00150962
0.443916413	1.85061257	0.00151
0.444153132	1.85060923	0.00151059
0.444390103	1.85060628	0.00151157
0.444627327	1.85060333	0.001512
0.444864805	1.85060038	0.00151254
0.445102536	1.8505969	0.001513
0.445340522	1.85059347	0.00151351
0.445578762	1.85059052	0.00151449
0.445817257	1.85058805	0.001515
0.446056008	1.85058562	0.00151546
0.446295015	1.85058267	0.00151644
0.446534277	1.85057972	0.001517
0.446773797	1.85057677	0.00151741
0.447013574	1.85057382	0.00151839
0.447253608	1.85057125	0.001519
0.4474939	1.85056892	0.00151936
0.44773445	1.85056631	0.00152034
0.447975259	1.85056402	0.001521
0.448216328	1.85056138	0.00152131
0.448457656	1.85055912	0.001522
0.448699244	1.85055644	0.00152228
0.448941092	1.85055448	0.00152326
0.449183201	1.85055251	0.001524
0.449425572	1.85055031	0.00152423
0.449668204	1.85054758	0.00152521
0.449911098	1.85054561	0.00152346
0.450154255	1.85054364	0.00151139
0.450397675	1.85054184	0.00150416
0.450641358	1.85054071	0.001505
0.450885305	1.85053874	0.001505
0.451129516	1.85053689	0.00150511
0.451373992	1.85053581	0.001506
0.451618733	1.85053392	0.00150608
0.45186374	1.85053287	0.001507
